Customer ID,Annual Income,Years in current job,Home Ownership
da4fd425-7d45-4c5f-96ed-7930a056e45b,1042511,5 years,Home Mortgage
d3790b57-80e5-45f7-8b4f-81baa72e1df1,1195898,10+ years,Rent
a0b2bc45-742c-441b-858e-5acbaab04147,1796165,< 1 year,Rent
5e374d0a-a7cd-4ea6-8814-00043ea61aa1,1017279,< 1 year,Rent
ef9ddefc-a550-4245-a80f-822911c31d1f,2647308,2 years,Rent
746fc09f-1ef1-4083-9a2a-251d3e6608fa,2088328,< 1 year,Home Mortgage
4d1fef0f-293c-4090-92be-a7fc30b34cee,4872778,3 years,Rent
659b0c70-c16a-4e27-89cc-4843cf8e56ac,806170,4 years,Home Mortgage
f55ee079-2735-4de0-838f-6f906e876def,,9 years,Home Mortgage
866ee209-7187-4290-a21c-57dcd80d89fc,1403492,4 years,Rent
cb67a8b2-2616-42a2-b01c-9fc091cf3a13,1137492,3 years,Rent
477c70fa-2b8f-4003-9bf1-d5591504dcd0,2205425,10+ years,Own Home
9813f700-2aa9-4d58-989f-6c6a7f7335f3,956365,2 years,Rent
8de92ad9-0cd0-49e4-b0fe-ed393b995c20,2429815,10+ years,Rent
7ec274f2-b527-4979-984a-6d8ada586d57,926345,4 years,Home Mortgage
4ef48201-a369-4338-b82e-804bbf936c8c,1164396,7 years,Own Home
1dd6d4cc-f990-4ba9-9fc7-e549b64e2165,1487776,10+ years,Rent
15980a3b-7446-4a31-a41f-2daa13b1b368,995714,10+ years,Home Mortgage
d2cab0de-87cb-4341-9d18-20b6a069614d,1273133,3 years,Rent
bd45417d-ddfb-41e2-a2b3-1d194b3e9775,1316434,10+ years,Home Mortgage
cf7843b1-70dd-4983-8d3b-389edbb4a335,948062,2 years,Rent
eb7d366d-d124-4756-8e61-7996e948a068,1159266,10+ years,Home Mortgage
7e5e0b4e-b7fe-4a1b-8a02-e45449fdccdf,1116440,4 years,Rent
44504b6f-f041-48da-826b-1fcd71ada40a,,3 years,Home Mortgage
8248911f-1a7b-442c-aada-85dfcb6cd9e1,967955,1 year,Rent
52c65ac6-66ec-41b2-97de-51195446fc46,3503106,7 years,Rent
0dfab644-1eb7-4b17-85bc-403633674687,3783660,3 years,Home Mortgage
f25cc8c7-a39e-48e2-a5b1-6925f9a43582,627722,10+ years,Rent
5dfd5741-4ff1-444c-800b-0c588483128a,2581663,3 years,Rent
13f957c2-8e44-42d0-a2bb-f743a3acdd55,1516808,10+ years,Rent
13a01f7f-e356-4b65-9b6e-4fe9e9779791,1520608,8 years,Rent
5835fba3-adde-4544-9d71-821b598da528,,< 1 year,Home Mortgage
b522e2f3-2e4c-48a0-8b68-71ac3f22df98,,< 1 year,Home Mortgage
e365ef81-c062-4c2c-b21a-c8b90e84b3fe,,4 years,Home Mortgage
2ed5467e-f5ee-4a35-8b86-2df1390672c4,1132590,8 years,Rent
9efee5e3-cac0-4e68-8e38-9b0e83e5e50c,1394790,4 years,Home Mortgage
2041dcbb-2702-42aa-97dd-ca0c211ffe1e,909606,< 1 year,Rent
64a5ce53-f0cf-41f9-b338-5ad3fe0056b4,,< 1 year,Rent
ebc1af23-93ec-40d6-8f05-d993bc96b992,1234962,10+ years,Home Mortgage
a68ab034-8859-456c-aa4a-b2ccf80eee6e,839838,10+ years,Home Mortgage
34505802-ae5a-4644-8d74-d3683cd8f50f,1888410,5 years,Home Mortgage
5605bbbb-3173-401f-8c79-6597bb89ad2b,580260,5 years,Home Mortgage
6d8b52bc-ace0-407b-be61-317de1f51e98,847400,5 years,Rent
b59c8e26-816b-4ba2-a370-ad58e10cfdf4,,10+ years,Home Mortgage
06224fbc-aade-429e-96ea-7cada56ec5ed,1346891,3 years,Rent
ba3d1f80-2633-43ec-a688-1df4ba345bb0,660079,2 years,Home Mortgage
7751a8b5-56a0-44c4-846a-2ee44c0665a6,832428,3 years,Rent
6eac263a-b31a-4959-8872-e85965f8c201,,< 1 year,Home Mortgage
80a7033a-101f-481c-9535-0a37dcb0bda5,454214,2 years,Rent
0273d827-7339-45fd-9ee8-494835ddfd88,,3 years,Rent
1878b872-77e7-4778-8de9-dda72a9b494d,,10+ years,Home Mortgage
f4e5fa2d-cc54-4b3d-bfe2-3e04616ce481,1357531,10+ years,Rent
a95bb35b-e918-45de-a282-0afcda421a95,2959136,8 years,Home Mortgage
6f7e54ce-145b-4316-857c-4ed12f28e185,1214746,8 years,Home Mortgage
bfd757dd-9b62-4daf-829c-23e803c92ddf,1177848,5 years,Home Mortgage
815fa30f-7175-46e3-b4ad-488c2066ecea,619609,2 years,Rent
329fc9d0-fd43-427d-babb-7ca78a6b0832,,4 years,Home Mortgage
f146a5b4-f207-4f86-95e8-f7e0be6cdfdc,1593036,10+ years,Home Mortgage
7d15886f-9bb0-4efe-b182-8e1c0541a36d,1458136,5 years,Rent
f8b00641-0b8c-424b-bd2e-ebedd4b65705,752248,5 years,Rent
90192efd-bec5-4f45-b360-a574b3410d33,1483881,4 years,Rent
e2e348a4-0f25-40eb-bdb1-6a1fbd82fe69,1209977,1 year,Home Mortgage
1bfb21be-06e8-4ee6-8987-85a7f5b742f7,2683579,3 years,Home Mortgage
d706cc64-1ccd-4e69-8c71-1d12085cd3c9,1896390,10+ years,Home Mortgage
e397c739-71af-4bc4-b019-5afd1ef6cb7b,794656,7 years,Home Mortgage
fea633cd-8101-43e8-ac99-0af327054a6e,1874920,7 years,Rent
f5ab66a2-997f-441e-b438-1f9494b2e437,1550362,10+ years,Home Mortgage
c9ed627f-51a7-40b5-8169-b21f338b6e40,310783,< 1 year,Rent
363f9cea-f5a0-4ba4-8ffd-fb10f7b5d116,,2 years,Rent
fcf86f9c-f2c9-438b-a0d7-2717887879c2,,5 years,Rent
4034c5b1-11c0-4d45-a542-164416236cbb,1137606,< 1 year,Rent
43c8c7b4-5392-4227-94cc-5af0d01a4dc4,782686,5 years,Rent
7b2ad308-7840-4b2e-8a6b-db9611df99fa,,1 year,Home Mortgage
cb3329df-10b5-4b88-a8eb-deee67d4c455,661808,5 years,Home Mortgage
ac8077f4-8ca5-4af2-a3be-c55e78d47995,1995399,10+ years,Rent
e29ee278-b15a-4122-bdb9-65af0b548ea8,,3 years,Home Mortgage
46ce638b-3e16-4e4f-b1c4-cc0cd5493179,775276,3 years,Rent
679f6365-5aa2-4833-90a3-93e949fd436d,2406825,4 years,Home Mortgage
eb20a422-46f5-4233-be45-77706fff8909,1773517,10+ years,Home Mortgage
5b461fe7-2275-45c6-805e-32392e0d2aba,,3 years,Home Mortgage
1df86adb-1434-43f3-aac7-8faa096b04fb,1316814,10+ years,Home Mortgage
cc405aff-e2b1-42eb-8d08-88c5b1887037,966530,9 years,Home Mortgage
f6171bc8-813f-4f1a-a88e-6022cf3620df,1955309,10+ years,Home Mortgage
eb170677-ca1b-436c-b0f0-c57059c3fa73,755060,7 years,Rent
f2deb1ca-686d-41e1-9d85-1daff51c8c88,1556974,6 years,Home Mortgage
2bc9fb41-a37b-4943-a6d1-5160e40b761f,1736505,10+ years,Home Mortgage
7740a2ea-8745-4d04-bd1a-0f6e18c3c2a1,728992,4 years,Rent
fc2edb06-f4b8-45e0-ae0f-ce9691297614,1597558,10+ years,Home Mortgage
ba11f91a-dc1e-45fb-ad76-eb1c01b9f4a5,858458,8 years,Rent
af7c3041-48e2-43dc-96f6-bbdaf8ee239c,557745,< 1 year,Rent
bc27a463-f2cb-4557-a232-61120b267dbf,,7 years,Home Mortgage
832c7bb5-fe24-459f-adb5-a2c06cfb7b81,,7 years,Rent
796c86b4-9caf-4e4c-942e-73512482d85e,739898,< 1 year,Rent
3a202b99-75ed-433e-b1d0-8ab15b4c1fcf,2396147,2 years,Rent
5d859647-6164-4d97-89a7-fa19ad45d8dc,,10+ years,Home Mortgage
ce1ceea8-9ea3-4605-8687-7a8ed452e0e3,,10+ years,Rent
37932ab9-b10e-44d6-96c3-308d392adb37,1530583,4 years,Home Mortgage
6e7f77ef-afdf-49c4-88f2-ff1ce605063d,1308929,5 years,Rent
e2cd778b-6ab1-4b94-97f0-45179e073d1e,805391,5 years,Rent
ed7dde99-0ff9-4398-8b8c-a7ce6a521490,,5 years,Home Mortgage
64c4b5c9-3bd4-41b1-8ded-3c5825ba193a,1456217,3 years,Rent
736b6504-e9dc-47f5-a034-5b1d5e9f4081,1553744,4 years,Home Mortgage
13e17170-aab6-4534-80c5-09527d0c2d27,1849023,2 years,Home Mortgage
8dc6eba5-9e97-4559-8e4d-bf94421c8627,1685547,10+ years,Home Mortgage
f461eb36-f7a6-48bf-a0b4-aa5b29742d43,584934,1 year,Own Home
78563092-2d79-4fea-9e75-b8fc89d0ed65,786695,8 years,Home Mortgage
7964061b-8b34-4f8a-a7f2-bfbd5bdcea76,2032506,8 years,Home Mortgage
fb394d3e-19ea-4da5-be0b-4846734d3931,1941610,10+ years,Home Mortgage
69013861-fffd-4f55-9e01-c73cd2b6e38d,894349,n/a,Home Mortgage
cf1fb29c-6c02-4d41-a084-c66dbe48c61f,1465394,8 years,Home Mortgage
b4d7ff7f-6a39-4d0e-b757-a67f4af7f701,2393525,2 years,Rent
27dc8870-2d2f-4db3-9789-06d3bded6886,3152157,2 years,Rent
e160c4fa-f3c8-4de2-ac55-8edff65fe04a,1977254,10+ years,Home Mortgage
22c52e25-3f23-47e6-9e52-ce9a5eac2c9a,765700,10+ years,Home Mortgage
d7a2f983-64ed-493b-bf34-d7823d1b7584,1063715,< 1 year,Own Home
d8587134-c000-47ed-816a-bdf244337ad9,3223445,10+ years,Rent
5ec42efb-3c8d-49e2-a4a8-c2ba098e0571,805068,10+ years,Rent
bbaa2cfc-b48c-4b46-a8e1-4bfa3d4cc032,,3 years,Home Mortgage
e1c4ba79-0008-4897-85c1-5460d956377f,1320690,4 years,Rent
644a28a7-53ca-4171-8c57-c440c59da809,928511,7 years,Home Mortgage
6f7989a1-c491-4857-b403-425dc4866a55,2012803,n/a,Home Mortgage
c13da452-5558-4450-bdc7-2c45868bb0e9,,5 years,Rent
c9047ab7-59ee-4fe8-9738-c054487823d9,2329875,4 years,Home Mortgage
0be4677d-6b16-43f3-b5aa-a68130372298,375858,3 years,Rent
bb88fb8d-cd97-4866-b099-09d888054a97,431034,1 year,Rent
0a58217f-f0b4-4165-9c27-e16eda680664,1217843,10+ years,Home Mortgage
92942afa-d861-4ccb-ab49-f76e1c54a94e,,5 years,Rent
e4e3f010-e951-4b4d-8958-48d1aad00878,597303,3 years,Rent
81cd52d5-bdf9-43ff-b86b-b56dda31b388,,8 years,Home Mortgage
b8ec6859-7278-43bb-9172-0c9030f90b16,580222,1 year,Rent
41cde585-9a0e-40a4-846e-2cc4bf632c39,,n/a,Own Home
881e9e73-9848-412e-a6f7-e7b557a8d261,1436552,10+ years,Home Mortgage
0f597778-73ad-48cd-86bd-8f3247908174,948214,6 years,Home Mortgage
ec2b37e1-3f28-4400-a932-010e28f37cef,1772339,8 years,Home Mortgage
f1671067-da46-4090-ad7a-78abe7f75b78,1311114,4 years,Rent
5914fa0d-3a07-496c-bcde-48de6d04124a,728061,10+ years,Rent
72e0e902-a5e0-49c6-824c-81da55aa6fbb,1259947,10+ years,Home Mortgage
19a99c3c-cabf-4dd4-b0b9-b8fb84126314,1025924,10+ years,Rent
cd28c9e7-a649-46a9-877c-8ef4e476bfc4,1555416,2 years,Rent
2efa3ef6-4eec-4e7b-9e81-bc43bac7e840,1381813,10+ years,Rent
2da75d2a-9e3d-430a-83ba-55564895829c,1700424,10+ years,Home Mortgage
6480762e-5522-4fd1-8dc0-ba65851b7772,846944,10+ years,Rent
684a3ca2-d9c2-4db0-8efa-a38adb000752,993111,9 years,Rent
4aff92fb-2e8e-4c12-8c26-01884759774d,768740,< 1 year,Own Home
e72ec8c5-8f09-45b9-88a5-123a582955ac,1172908,n/a,Home Mortgage
38ef37f8-1283-43b4-b0d3-56a6aed31fc4,465006,3 years,Rent
c47b4639-6c37-414c-8d87-e76f34c96119,,10+ years,Home Mortgage
b3b3c5c1-cc94-4472-a337-20b4de976195,676305,10+ years,Rent
4c29eb9f-4859-46da-b032-aeb352df9971,1386050,6 years,Rent
0391b28b-6043-4d2e-aa13-d5e3746b7449,,6 years,Rent
c034b68f-30da-4032-ac34-817dcd9bd04e,2097828,3 years,Home Mortgage
52af7f4e-96a4-455b-95da-ada808316223,1788983,< 1 year,Rent
042b59b2-3dca-4e21-b66a-d95b5212379a,1704452,7 years,Home Mortgage
9d275da0-b7c4-4b0d-bc2e-53b06bf484cf,1024043,10+ years,Rent
f8761816-7844-4610-ac49-f5799bea8c2a,1684407,10+ years,Home Mortgage
f02023f0-085d-4d26-abb3-d886ac6a5262,1354871,10+ years,Home Mortgage
87af8a01-347d-463b-9a28-6089153bb149,,10+ years,Home Mortgage
ff4ac779-d2f3-43b2-9943-70cbc83bf75a,,1 year,Rent
7680fc52-eb28-4595-a329-7323ab153ae7,2858835,6 years,Rent
ec2406be-7cb6-4389-bd9b-25bfd97c7788,1162686,3 years,Rent
df8f71f4-78b0-415f-83ec-d8a4fc9a4aaf,484747,5 years,Rent
c81f55de-5ab0-4552-a59b-d3044f45c536,1243531,9 years,Home Mortgage
ae18f925-6db4-4d08-9b5b-da0e151bdd38,,5 years,Rent
c3626e7a-a77a-4899-8c18-0746f9f81740,2465554,8 years,Rent
bce038de-dc1c-45ed-ac02-1bcf7b15a581,1581731,10+ years,Home Mortgage
d53af568-1ac8-4c9d-bb2b-606e48097dce,382508,2 years,Home Mortgage
8eeb4877-a61c-45f4-96f2-a3fa1554e24b,609634,n/a,Home Mortgage
d232c53b-2ca5-4eb5-be0a-d591f81aa5e1,1470429,n/a,Rent
7f754633-b71e-4a97-a392-b8adbf8c3288,1214423,< 1 year,Home Mortgage
0414003a-8efd-43e0-9a40-6d499465dd48,,n/a,Rent
6279c982-d539-48f3-aba1-5822904b1220,,8 years,Rent
a619f2aa-17c8-494a-94aa-0bb7ae67197d,637089,5 years,Home Mortgage
a1a97f24-63e3-4c4a-a45e-26c3075ea941,1551920,10+ years,Home Mortgage
2dabb141-a1b7-4b85-96d0-ab3cdce9f0d9,1713420,10+ years,Rent
36cb105b-59e2-4cdc-87d5-3ef7a36504cb,1401782,10+ years,Home Mortgage
975cb9dd-90e3-4466-afac-f45c9bb59e09,1271100,< 1 year,Rent
092bee43-a278-4451-9f17-e99bca3b53f9,,10+ years,Rent
5dbbd929-5739-4c2e-99e9-f80f73980581,1047622,9 years,Rent
400b4443-b9bb-471a-848f-be7a8cb0a071,,8 years,Home Mortgage
4e90c969-ef08-4383-8ac2-866a94a5df9e,1166942,10+ years,Rent
3ef62375-1cdd-4b04-9e00-3113085ba5f6,1663089,10+ years,Home Mortgage
08338f1b-0b3f-4da6-91a5-007898a35027,,5 years,Own Home
5c59bb1e-f33b-457a-aa13-784a6cc29285,743584,2 years,Home Mortgage
62879dc8-4fa4-4df5-848b-bf74a779e1a4,2808352,1 year,Home Mortgage
8f85275d-e13f-4981-bbbd-c2f70c160250,2982183,10+ years,Home Mortgage
d11812df-9ab0-4f4f-a0ff-c1a11e38dce4,859617,10+ years,Own Home
824978fb-cd80-4faf-8f9b-90613d416118,1320823,10+ years,Rent
82c5e0ea-e4ed-4f15-a6db-3938138ab0a7,1799680,2 years,Rent
381055d7-5454-4f5f-bfdd-21bc4400984b,1441967,10+ years,Home Mortgage
24d2269d-b801-4f21-8c6a-7f0431bd9ac0,949335,7 years,Home Mortgage
881a4280-b20c-4bb6-a8d6-1503d47a28e6,1867510,1 year,Rent
4a8c355c-2511-4cb6-9f42-530c758a60c0,523697,7 years,Rent
f7c8a61c-2749-4e2d-bed3-51206108b97d,,10+ years,Rent
3a169aac-1aa3-4562-a582-8e22e305ddfc,965827,10+ years,Rent
db37617f-ddaf-4dfd-a9d8-98b5a1181f6b,754224,10+ years,Home Mortgage
cc3fc6e1-28b6-4900-8e5e-39337b67eec0,2524416,< 1 year,Rent
53e5657f-5ea0-4781-bee6-98bdd317c60a,1719918,10+ years,Home Mortgage
2e10146d-9b0a-4a03-a6e9-acb6af489fce,,9 years,Home Mortgage
3302eaec-aab0-4c5a-b95b-9ce90ce745bf,1795443,10+ years,Own Home
a206d024-b92a-41fc-88f5-c86168264149,2020935,10+ years,Home Mortgage
606b2b8a-a1eb-4185-9ad0-682c5f4ca4f7,,10+ years,Home Mortgage
72d9e12d-e956-407f-837e-c52f2976e284,,10+ years,Home Mortgage
5b5cec8f-c6b6-4d05-a332-471ac9d54abc,616341,3 years,Rent
41c21fb8-3fac-4c81-a02f-3be202d04ba0,1417590,10+ years,Home Mortgage
92a01b4e-1c45-44c1-8855-a86246ce2a42,1336669,1 year,Home Mortgage
f0013219-6887-4b4a-a0e4-3d3d7b87c5de,,1 year,Rent
8ad0e48d-5757-430f-9ea3-d7949eaf69e6,946276,< 1 year,Home Mortgage
439705aa-d412-4b64-ac50-c9877f986709,861764,10+ years,Rent
c441e323-b242-46b7-9877-027b2e67a010,,9 years,Rent
cecc695c-650c-40a9-9db4-7d2187c16b61,584706,9 years,Rent
de38c86d-da75-46fa-9795-aa78b05ee0d5,1121988,2 years,Home Mortgage
75f648a2-fff4-4d9f-8daf-91fc3f5c64aa,1505560,2 years,Rent
6abac3d7-66fd-417b-8e87-badcb7dd99d9,1123014,< 1 year,Rent
2b369f71-067f-45e5-975a-0d7fa96aa371,947131,5 years,Rent
afa8085b-0c98-4da3-a150-f40a416488a4,1724155,1 year,Home Mortgage
a147b764-5963-48a9-bb77-3e43714e8abb,1115262,10+ years,Home Mortgage
dcf8c8be-74fd-443b-a6af-ff83ed6263b5,,3 years,Home Mortgage
ff4b2d45-a398-433c-afc1-6fc3956c26f1,853803,10+ years,Home Mortgage
7ec96afe-bc19-4363-a343-250db07f74b6,,1 year,Home Mortgage
2fe74d9e-ccb9-4c4a-b941-9e3f497e91dc,1897340,< 1 year,Home Mortgage
6186063e-59b4-466b-977a-883474116728,,10+ years,Home Mortgage
735de354-f8b3-4b6d-8cea-5138210bcbf7,1410997,1 year,Home Mortgage
618783a1-5138-4724-8175-690d54189ce2,1039338,7 years,Rent
b9fce3cf-01de-4667-9966-13661205380c,741228,7 years,Home Mortgage
bbe88c23-f59a-4955-bee8-6e5cd7524f81,,5 years,Home Mortgage
674cdd34-0154-4887-adf4-1ff8efd4b0a1,1154136,1 year,Rent
1d0aa009-c59e-4c94-b023-5d5f1c71fb00,,3 years,Home Mortgage
f9f596e1-9581-44a2-b2f1-a5550cf132e3,2777325,10+ years,Home Mortgage
11d65bd4-0a94-4445-bafe-03d68bb10c22,,9 years,Home Mortgage
3f8652b9-ff48-4e3e-a6d8-b8bd74736853,,10+ years,Rent
0c0c4826-a564-4464-a6e2-9fa47b218ef6,611154,2 years,Own Home
31d493e0-8355-4b7e-8d3e-ff9c3bdc47e0,813010,4 years,Rent
57661c78-3606-417a-b406-281cefc1d835,552843,4 years,Rent
3bdadce5-2ccd-42d9-9bb1-4b53c2d28b4c,682499,4 years,Rent
dce27c71-6513-46bb-a887-bdf2a324924f,606176,2 years,Rent
8797c809-a1a8-43d1-acc0-96a6c7f33bd6,1428477,3 years,Home Mortgage
b493c608-3ca8-4c73-b161-ada2bdf48ea1,696749,5 years,Rent
03553a59-1d0e-4747-bdbf-d88f62ea3855,1058794,10+ years,Rent
09b41a38-ad11-4c73-bfac-9afab3ea95a4,2232576,5 years,Home Mortgage
21e863ef-cc7f-4024-ada3-b48dcfaceb35,2071836,1 year,Rent
3f410c3d-d48d-4f0f-b75d-399d62b5461c,786904,10+ years,Own Home
a2910c28-a65e-4a96-a5e3-836b196379c7,1582852,7 years,Rent
3bac0231-b309-4e57-a28b-e11af138c341,4766644,< 1 year,Home Mortgage
917ce153-9466-4533-831b-f11195ec3185,1645039,2 years,Rent
15dafc66-c6af-418f-9fd2-0d1a33dc6552,375706,3 years,Rent
07b0de64-17b6-4448-ba29-e483d3f15c82,,10+ years,Home Mortgage
c5b77d44-ec68-402a-ae35-404ceb1b8dc3,804859,3 years,Own Home
22d06857-060b-45ab-8be3-f56456a699cc,,1 year,Home Mortgage
7ab62a89-f70e-453a-90e0-a77a38e4bf7e,528998,7 years,Rent
1fb44e06-4836-41b9-a701-6fba17ffa774,874418,4 years,Home Mortgage
86b7a5ee-2627-40cf-beda-11cd2b8fd258,,10+ years,Home Mortgage
9c8be527-1d3c-44ea-891c-2d6f30b7ec04,1758241,< 1 year,Home Mortgage
89955af6-51a0-4b93-ad5d-5078630ff239,1135212,1 year,Home Mortgage
699ea78c-3857-4007-b770-642b609822d7,847476,10+ years,Own Home
19181cf1-7237-4e82-94ac-75d0213e18ff,2227180,8 years,Rent
ecd35bdd-2835-410d-930f-841e0a82c3fd,1901330,7 years,Home Mortgage
d81ea1f3-2cd0-469b-b5b1-21b93cdb57d1,1178646,7 years,Home Mortgage
ae533812-a91a-44ba-b24e-b128f59a9153,563160,3 years,Rent
04775e21-5842-4d3a-9ecc-34ef907a812a,836475,3 years,Home Mortgage
81b15f4b-5f6e-4434-af5d-37702cc1f728,1508600,10+ years,Home Mortgage
ff88149e-19a3-4e01-9df2-2c774561345a,1360742,10+ years,Rent
44ccc88d-62ba-4ecf-bc32-8ea3d79c1fe5,1539152,5 years,Rent
49e4fae4-8dec-405f-b525-c46bc14d2416,1317498,1 year,Own Home
c8f29444-880b-4154-b8f9-e5798763fafc,1279593,2 years,Home Mortgage
12842672-3af1-46a6-9ded-f8a0a9a4eef6,2328925,10+ years,Home Mortgage
1ef0974d-e61a-41eb-912a-b48317ac6970,296951,n/a,Rent
3850d5ca-c794-44cc-8e34-ec363ae3f865,,10+ years,Rent
86390fce-e1a7-4d57-80de-6b12aa3f65f0,1500088,8 years,Rent
13bf2ef6-4a52-4542-88b7-d2796fe9aa0e,,10+ years,Own Home
96e062ae-18b0-444a-9dbb-301cb791e19b,,9 years,Own Home
9ff411b2-60b9-4026-b732-d37934520d96,3041520,3 years,Rent
73bcd250-b3f2-4903-87e8-f5fb95674db1,1828560,7 years,Home Mortgage
16844cbb-ba57-45b4-ae26-bd65504fbc5e,1023131,4 years,Home Mortgage
e8a719b9-ef78-456c-a750-6521a68339fc,1711463,7 years,Home Mortgage
38c4cd60-5503-4503-9624-a6ec3131be09,651377,10+ years,Home Mortgage
cfde15e7-9776-4f2e-a33d-8ff4ec20b8db,555788,n/a,Own Home
0549b9cf-f3b4-46dc-8059-36d3cd8f95a1,938695,8 years,Rent
af5e66fd-1f4e-4aa1-85d0-55d3e71d7517,847913,< 1 year,Rent
f97a1cdd-7f92-4dc5-bccf-ebe1da480b0b,1788736,7 years,Home Mortgage
b52737ba-613a-41b6-89bf-891869a4a5f8,,9 years,Rent
23b99479-870b-4e61-a0ec-6b62cca51932,392502,10+ years,Rent
b8c5a00d-b351-433a-957d-214fdf55bdf9,,9 years,Rent
d736129a-1630-4d2c-b7c9-58e6ac314a43,658160,< 1 year,Rent
7376948b-90f5-497c-bfc1-6c00cd5743aa,1289302,3 years,Home Mortgage
ce28a8e8-7069-43fa-9520-d4d9006c4594,1878948,10+ years,Home Mortgage
5ec38d2d-5393-4be1-a9e3-d2115cd855ed,273695,n/a,Home Mortgage
ea385e12-2e69-482d-8c9a-63f01541683a,1396785,10+ years,Home Mortgage
28d28c0d-0650-4a3c-8cc3-9ce223bf166f,1206975,10+ years,Rent
f0dfd746-46b7-45f0-9918-e2ad8596b783,648185,4 years,Rent
91817f72-aa90-45cf-aa2a-1fa3d678bc16,969475,2 years,Home Mortgage
e4f1aca0-107e-47a0-a5b4-50872a95b401,1154364,10+ years,Home Mortgage
660e81c9-180a-4300-9206-c8be6e403127,1714484,10+ years,Rent
